Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution","Conceptual Modeling","","","","10.1007/978-3-642-34002-4_29","Tilmann ZäschkeStefania LeoneMoira C. Norrie","2012","http://link.springer.com/chapter/10.1007/978-3-642-34002-4_29","Chapter"
"Supporting Runtime System Evolution to Adapt to User Behaviour","Advanced Information Systems Engineering","","","","10.1007/978-3-642-13094-6_30","Estefanía SerralPedro ValderasVicente Pelechano","2010","http://link.springer.com/chapter/10.1007/978-3-642-13094-6_30","Chapter"
"Revisiting Schema Evolution in Object Databases in Support of Agile Development","Objects and Databases","","","","10.1007/978-3-642-16092-9_5","Tilmann ZäschkeMoira C. Norrie","2010","http://link.springer.com/chapter/10.1007/978-3-642-16092-9_5","Chapter"
"Language Evolution in Practice: The History of GMF","Software Language Engineering","","","","10.1007/978-3-642-12107-4_3","Markus HerrmannsdoerferDaniel RatiuGuido Wachsmuth","2010","http://link.springer.com/chapter/10.1007/978-3-642-12107-4_3","Chapter"
"An Analysis of RESTful APIs Offerings in the Industry","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_43","Antonio Gamez-DiazPablo FernandezAntonio Ruiz-Cortes","2017","http://link.springer.com/chapter/10.1007/978-3-319-69035-3_43","Chapter"
"A Practical Approach to Services Composition Through Light Semantic Descriptions","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_10","Marco CremaschiFlavio De Paoli","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_10","Chapter"
"Automatically Identifying Sufficient Object Builders from Module APIs","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-030-16722-6_25","Pablo PonzioValeria S. BengoleaMariano PolitanoNazareno AguirreMarcelo F. Frias","2019","http://link.springer.com/chapter/10.1007/978-3-030-16722-6_25","Chapter"
"Combining Versioning and Metamodel Evolution in the ChronoSphere Model Repository","SOFSEM 2018: Theory and Practice of Computer Science","","","","10.1007/978-3-319-73117-9_11","Martin HaeuslerThomas TrojerJohannes KesslerMatthias FarwickEmmanuel NowakowskiRuth Breu","2018","http://link.springer.com/chapter/10.1007/978-3-319-73117-9_11","Chapter"
"Exploring Evolutionary Search Strategies to Improve Applications’ Energy Efficiency","Search-Based Software Engineering","","","","10.1007/978-3-319-99241-9_15","Irene ManotasJames ClauseLori Pollock","2018","http://link.springer.com/chapter/10.1007/978-3-319-99241-9_15","Chapter"
"Model-Based Search and Ranking of Web APIs across Multiple Repositories","Web Information Systems Engineering – WISE 2014","","","","10.1007/978-3-319-11749-2_17","Devis BianchiniValeria De AntonellisMichele Melchiori","2014","http://link.springer.com/chapter/10.1007/978-3-319-11749-2_17","Chapter"
"Semantic and Algorithmic Recognition Support to Porting Software Applications to Cloud","Trustworthy Eternal Systems via Evolving Software, Data and Knowledge","","","","10.1007/978-3-642-45260-4_1","Beniamino Di MartinoGiuseppina Cretella","2013","http://link.springer.com/chapter/10.1007/978-3-642-45260-4_1","Chapter"
"Inference and Evolution of TypeScript Declaration Files","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-662-54494-5_6","Erik Krogh KristensenAnders Møller","2017","http://link.springer.com/chapter/10.1007/978-3-662-54494-5_6","Chapter"
"Small Changes, Big Changes: An Updated View on the Android Permission System","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-319-45719-2_16","Yury ZhauniarovichOlga Gadyatskaya","2016","http://link.springer.com/chapter/10.1007/978-3-319-45719-2_16","Chapter"
"Detecting Cloud (Anti)Patterns: OCCI Perspective","Service-Oriented Computing","","","","10.1007/978-3-319-46295-0_13","Hayet BrabraAchraf MtibaaLayth SlimanWalid GaaloulBoualem BenatallahFaiez Gargouri","2016","http://link.springer.com/chapter/10.1007/978-3-319-46295-0_13","Chapter"
"Bridging the Interoperability Gap: Overcoming Combined Application and Middleware Heterogeneity","Middleware 2011","","","","10.1007/978-3-642-25821-3_20","Yérom-David BrombergPaul GraceLaurent RéveillèreGordon S. Blair","2011","http://link.springer.com/chapter/10.1007/978-3-642-25821-3_20","Chapter"
"The Design, Evolution, and Use of KernelF","Theory and Practice of Model Transformation","","","","10.1007/978-3-319-93317-7_1","Markus Voelter","2018","http://link.springer.com/chapter/10.1007/978-3-319-93317-7_1","Chapter"
"Generating GraphQL-Wrappers for REST(-like) APIs","Web Engineering","","","","10.1007/978-3-319-91662-0_5","Erik WitternAlan ChaJim A. Laredo","2018","http://link.springer.com/chapter/10.1007/978-3-319-91662-0_5","Chapter"
"Model-Based Testing for Verification Back-Ends","Tests and Proofs","","","","10.1007/978-3-642-38916-0_3","Cyrille ArthoArmin BiereMartina Seidl","2013","http://link.springer.com/chapter/10.1007/978-3-642-38916-0_3","Chapter"
"REST APIs: A Large-Scale Analysis of Compliance with Principles and Best Practices","Web Engineering","","","","10.1007/978-3-319-38791-8_2","Carlos RodríguezMarcos BaezFlorian DanielFabio CasatiJuan Carlos TrabuccoLuigi CanaliGianraffaele Percannella","2016","http://link.springer.com/chapter/10.1007/978-3-319-38791-8_2","Chapter"
"Innovation in the Programmable Web: Characterizing the Mashup Ecosystem","Service-Oriented Computing – ICSOC 2008 Workshops","","","","10.1007/978-3-642-01247-1_13","Shuli YuC. Jason Woodard","2009","http://link.springer.com/chapter/10.1007/978-3-642-01247-1_13","Chapter"
"The Evolution from a Web SPL of the e-Gov Domain to the Mobile Paradigm","Computational Science and Its Applications -- ICCSA 2015","","","","10.1007/978-3-319-21404-7_16","Camilo CarromeuDébora Maria Barroso PaivaMaria Istela Cagnin","2015","http://link.springer.com/chapter/10.1007/978-3-319-21404-7_16","Chapter"
"An Approach for the Automatic Adaptation of Domain-Specific Modeling Languages for Model-Driven Mobile Application Development","Software Technologies","","","","10.1007/978-3-319-30142-6_20","Xiaoping JiaChristopher Jones","2016","http://link.springer.com/chapter/10.1007/978-3-319-30142-6_20","Chapter"
"Keep Calm and Wait for the Spike! Insights on the Evolution of Amazon Services","Advanced Information Systems Engineering","","","","10.1007/978-3-319-39696-5_27","Apostolos V. ZarrasPanos VassiliadisIoannis Dinos","2016","http://link.springer.com/chapter/10.1007/978-3-319-39696-5_27","Chapter"
"Educational Open Government Data: From Requirements to End Users","Web Engineering","","","","10.1007/978-3-319-91662-0_37","Rudolf EckelbergVytor Bezerra CalixtoMarina Hoshiba PimentelMarcos Didonet Del FabroMarcos SunyéLeticia PeresEduardo TodtThiago AlvesAdriana DragoneGabriela Schneider","2018","http://link.springer.com/chapter/10.1007/978-3-319-91662-0_37","Chapter"
"An Ontology-Based Architecture for an Adaptable Cloud Storage Broker","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-79090-9_6","Divyaa Manimaran ElangoFrank FowleyClaus Pahl","2018","http://link.springer.com/chapter/10.1007/978-3-319-79090-9_6","Chapter"
"A Test-Driven Approach for Extracting Libraries of Reusable Components from Existing Applications","Agile Processes in Software Engineering and Extreme Programming","","","","10.1007/978-3-642-20677-1_17","Elaf SelimYaser GhanamChris BurnsTeddy SeyedFrank Maurer","2011","http://link.springer.com/chapter/10.1007/978-3-642-20677-1_17","Chapter"
"A Semantic Versioning Service Based on Formal Certification","Software Technologies","","","","10.1007/978-3-319-30142-6_3","Jean-Yves Vion-DuryNikolaos Lagos","2016","http://link.springer.com/chapter/10.1007/978-3-319-30142-6_3","Chapter"
"Consistent Ontologies Evolution Using Graph Grammars","Knowledge Science, Engineering and Management","","","","10.1007/978-3-642-39787-5_6","Mariem MahfoudhGermain ForestierLaurent ThiryMichel Hassenforder","2013","http://link.springer.com/chapter/10.1007/978-3-642-39787-5_6","Chapter"
"Visual vs. DOM-Based Web Locators: An Empirical Study","Web Engineering","","","","10.1007/978-3-319-08245-5_19","Maurizio LeottaDiego ClerissiFilippo RiccaPaolo Tonella","2014","http://link.springer.com/chapter/10.1007/978-3-319-08245-5_19","Chapter"
"Automatic Domain Model Migration to Manage Metamodel Evolution","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-04425-0_57","Anantha NarayananTihamer LevendovszkyDaniel BalasubramanianGabor Karsai","2009","http://link.springer.com/chapter/10.1007/978-3-642-04425-0_57","Chapter"
"Supporting Framework Use via Automatically Extracted Concept-Implementation Templates","ECOOP 2009 – Object-Oriented Programming","","","","10.1007/978-3-642-03013-0_16","Abbas HeydarnooriKrzysztof CzarneckiThiago Tonelli Bartolomei","2009","http://link.springer.com/chapter/10.1007/978-3-642-03013-0_16","Chapter"
"Adding Virtualization Capabilities to the Grid’5000 Testbed","Cloud Computing and Services Science","","","","10.1007/978-3-319-04519-1_1","Daniel BalouekAlexandra Carpen AmarieGhislain CharrierFrédéric DesprezEmmanuel JeannotEmmanuel JeanvoineAdrien LèbreDavid MargeryNicolas NiclausseLucas NussbaumOlivier RichardChristian PerezFlavien QuesnelCyril RohrLuc Sarzyniec","2013","http://link.springer.com/chapter/10.1007/978-3-319-04519-1_1","Chapter"
"A Lexical and Semantical Analysis on REST Cloud Computing APIs","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_16","Fabio PetrilloPhilippe MerleFrancis PalmaNaouel MohaYann-Gaël Guéhéneuc","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_16","Chapter"
"OpenSHMEM Extensions and a Vision for Its Future Direction","OpenSHMEM and Related Technologies. Experiences, Implementations, and Tools","","","","10.1007/978-3-319-05215-1_11","Stephen PoolePavel ShamisAaron WelchSwaroop PophaleManjunath Gorentla VenkataOscar HernandezGregory KoenigTony CurtisChung-Hsing Hsu","2014","http://link.springer.com/chapter/10.1007/978-3-319-05215-1_11","Chapter"
