other_id,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
springer_art_01,Charting the API minefield using software telemetry data,Empirical Software Engineering,,20,6,10.1007/s10664-014-9343-7,Maria KechagiaDimitris MitropoulosDiomidis Spinellis,2015,http://link.springer.com/article/10.1007/s10664-014-9343-7,Article
springer_art_02,A field study of API learning obstacles,Empirical Software Engineering,,16,6,10.1007/s10664-010-9150-8,Martin P. RobillardRobert DeLine,2011,http://link.springer.com/article/10.1007/s10664-010-9150-8,Article
springer_art_03,Development as a journey: factors supporting the adoption and use of software frameworks,Journal of Software Engineering Research and Development,,6,1,10.1186/s40411-018-0050-8,Varvana MyllärniemiSari KujalaMikko RaatikainenPiia Sevońn,2018,http://link.springer.com/article/10.1186/s40411-018-0050-8,Article
springer_art_04,API trustworthiness: an ontological approach for software library adoption,Software Quality Journal,,,,10.1007/s11219-018-9428-4,Ellis E. EghanSultan S. AlqahtaniChristopher ForbesJuergen Rilling,2019,http://link.springer.com/article/10.1007/s11219-018-9428-4,Article
springer_art_05,Analysis and measurement of internal usability metrics through code annotations,Software Quality Journal,,,,10.1007/s11219-019-09455-4,Maximilian SchrammeJosé A. Macías,2019,http://link.springer.com/article/10.1007/s11219-019-09455-4,Article
springer_art_06,Analyzing the co-evolution of comments and source code,Software Quality Journal,,17,4,10.1007/s11219-009-9075-x,Beat FluriMichael WürschEmanuel GigerHarald C. Gall,2009,http://link.springer.com/article/10.1007/s11219-009-9075-x,Article
springer_art_07,What should developers be aware of? An empirical study on the directives of API documentation,Empirical Software Engineering,,17,6,10.1007/s10664-011-9186-4,Martin MonperrusMichael EichbergElif TekesMira Mezini,2012,http://link.springer.com/article/10.1007/s10664-011-9186-4,Article
springer_art_08,Recommending reference API documentation,Empirical Software Engineering,,20,6,10.1007/s10664-014-9323-y,Martin P. RobillardYam B. Chhetri,2015,http://link.springer.com/article/10.1007/s10664-014-9323-y,Article
springer_art_09,A qualitative human-centric evaluation of flexibility in middleware implementations,Empirical Software Engineering,,17,3,10.1007/s10664-011-9167-7,Renato MaiaRenato CerqueiraClarisse Sieckenius de SouzaTomás Guisasola-Gorham,2012,http://link.springer.com/article/10.1007/s10664-011-9167-7,Article
