PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Lozano, Angela; Mens, Kim; Kellens, Andy								Usage contracts: Offering immediate feedback on violations of structural source-code regularities								SCIENCE OF COMPUTER PROGRAMMING				105				73	91		10.1016/j.scico.2015.01.004					JUL 1 2015	2015										3	0	0	0	0	3			0167-6423	1872-7964		WOS:000356198600005		
J	Mao, Wenzhi; Kaya, Cihan; Dutta, Anindita; Horovitz, Amnon; Bahar, Ivet					Mao, Wenzhi/0000-0003-1498-105X			Comparative study of the effectiveness and limitations of current methods for detecting sequence coevolution								BIOINFORMATICS				31	12			1929	1937		10.1093/bioinformatics/btv103					JUN 15 2015	2015										9	0	0	8	0	9			1367-4803	1460-2059		WOS:000356625700050	25697822	
J	Diener, Matthias; Cruz, Eduardo H. M.; Pilla, Laercio L.; Dupros, Fabrice; Navaux, Philippe O. A.				Diener, Matthias/E-3024-2017; Pilla, Laercio Lima/A-2279-2015	Diener, Matthias/0000-0002-9064-7806; Pilla, Laercio Lima/0000-0003-0997-586X			Characterizing communication and page usage of parallel applications for thread and data mapping								PERFORMANCE EVALUATION				88-89				18	36		10.1016/j.peva.2015.03.001					JUN 2015	2015										11	0	0	0	0	11			0166-5316	1872-745X		WOS:000355374800002		
J	Makowski, D.; Mielczarek, A.; Perek, P.; Jablonski, G.; Orlikowski, M.; Sakowicz, B.; Napieralski, A.; Makijarvi, P.; Simrock, S.; Martin, V.				Jablonski, Grzegorz/Q-8471-2018; Orlikowski, Mariusz/B-1047-2013; Mielczarek, Aleksander/M-4709-2014; Makowski, Dariusz/B-1056-2013; Sakowicz, Bartosz/Q-2809-2019; Napieralski, Andrzej/M-1621-2016	Jablonski, Grzegorz/0000-0003-0376-3583; Orlikowski, Mariusz/0000-0003-4241-2815; Mielczarek, Aleksander/0000-0001-8918-8879; Makowski, Dariusz/0000-0002-6392-090X; Sakowicz, Bartosz/0000-0001-5153-2398; Napieralski, Andrzej/0000-0002-3844-3435; Simrock, Stefan/0000-0002-1116-5316			High-Performance Image Acquisition and Processing System with MTCA.4								IEEE TRANSACTIONS ON NUCLEAR SCIENCE				62	3			925	931		10.1109/TNS.2015.2415582					JUN 2015	2015						19th IEEE-NPSS Real Time Conference (RT)19th IEEE-NPSS Real Time Conference (RT)	MAY 26-30, 2014MAY 26-30, 2014	Osaka Univ, Res Nucl Phys; IEEE Nucl & Plasma Sci SocOsaka Univ, Res Nucl Phys; IEEE Nucl & Plasma Sci Soc	Nara, JAPANNara, JAPAN	6	0	0	0	0	6			0018-9499	1558-1578		WOS:000356458000009		
J	Deutsch, Eric W.; Albar, Juan Pablo; Binz, Pierre-Alain; Eisenacher, Martin; Jones, Andrew R.; Mayer, Gerhard; Omenn, Gilbert S.; Orchard, Sandra; Vizcaino, Juan Antonio; Hermjakob, Henning				Vizcaino, Juan Antonio/C-3691-2009; Eisenacher, Martin/J-8044-2014	Vizcaino, Juan Antonio/0000-0002-3905-4335; Eisenacher, Martin/0000-0003-2687-7444; Omenn, Gilbert S./0000-0002-8976-6074; Jones, Andrew/0000-0001-6118-9327; Orchard, Sandra/0000-0002-8878-3972; Hermjakob, Henning/0000-0001-8479-0262; Deutsch, Eric/0000-0001-8732-0928			Development of data representation standards by the human proteome organization proteomics standards initiative								JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION				22	3			495	506		10.1093/jamia/ocv001					MAY 2015	2015										31	0	1	23	0	31			1067-5027	1527-974X		WOS:000356717100003	25726569	
J	Businge, John; Serebrenik, Alexander; van den Brand, Mark G. J.					Serebrenik, Alexander/0000-0002-1418-0095			Eclipse API usage: the good and the bad								SOFTWARE QUALITY JOURNAL				23	1			107	141		10.1007/s11219-013-9221-3					MAR 2015	2015										8	1	0	0	0	9			0963-9314	1573-1367		WOS:000350345400007		
J	Cox, S. J. D.; Richard, S. M.				Cox, Simon/C-5791-2011	Cox, Simon/0000-0002-3884-3420; Richard, Stephen/0000-0001-6041-5302			A geologic timescale ontology and service								EARTH SCIENCE INFORMATICS				8	1	SI		5	19		10.1007/s12145-014-0170-6					MAR 2015	2015										8	1	0	0	0	9			1865-0473	1865-0481		WOS:000351444100002		
J	Sutter, P. M.; Lavaux, G.; Hamaus, N.; Pisani, A.; Wandelt, B. D.; Warren, M.; Villaescusa-Navarro, F.; Zivick, P.; Mao, Q.; Thompson, B. B.				Mao, Qingqing/E-2043-2016	Mao, Qingqing/0000-0001-6001-6723; WANDELT, Benjamin/0000-0002-5854-8269; Thompson, Benjamin/0000-0003-4383-9183; Lavaux, Guilhem/0000-0003-0143-8891			VIDE: The Void IDentification and Examination toolkit								ASTRONOMY AND COMPUTING				9				1	9		10.1016/j.ascom.2014.10.002					MAR 2015	2015										39	1	0	0	0	40			2213-1337	2213-1345		WOS:000354902600001		
J	Espinha, Tiago; Zaidman, Andy; Gross, Hans-Gerhard				Zaidman, Andy/O-6542-2014	Zaidman, Andy/0000-0003-2413-3935			Web API growing pains: Loosely coupled yet strongly tied								JOURNAL OF SYSTEMS AND SOFTWARE				100				27	43		10.1016/j.jss.2014.10.014					FEB 2015	2015										11	0	0	0	0	11			0164-1212	1873-1228		WOS:000347739200003		
J	Alazab, Mamoun					Alazab, Mamoun/0000-0002-1928-3704			Profiling and classifying the behavior of malicious codes								JOURNAL OF SYSTEMS AND SOFTWARE				100				91	102		10.1016/j.jss.2014.10.031					FEB 2015	2015										32	2	0	0	0	33			0164-1212	1873-1228		WOS:000347739200008		
J	Afonso, Vitor Monte; de Amorim, Matheus Favero; Abed Gregio, Andre Ricardo; Junquera, Glauco Barroso; de Geus, Paulo Licio				de Geus, Paulo/K-1088-2013	de Geus, Paulo/0000-0002-6540-8686			Identifying Android malware using dynamically obtained features								JOURNAL IN COMPUTER VIROLOGY AND HACKING TECHNIQUES				11	1			9	17		10.1007/s11416-014-0226-7					FEB 2015	2015										25	1	0	0	0	26			2274-2042	2263-8733		WOS:000355685000002		
J	Quek, Xiu Cheng; Thomson, Daniel W.; Maag, Jesper L. V.; Bartonicek, Nenad; Signal, Bethany; Clark, Michael B.; Gloss, Brian S.; Dinger, Marcel E.				Bartonicek, Nenad/B-6675-2016; Dinger, Marcel/N-1398-2019	Bartonicek, Nenad/0000-0003-2144-1887; Dinger, Marcel/0000-0003-4423-934X; Gloss, Brian/0000-0001-7695-4394; Clark, Michael/0000-0002-2903-9537; Maag, Jesper/0000-0002-2578-8872			lncRNAdb v2.0: expanding the reference database for functional long noncoding RNAs								NUCLEIC ACIDS RESEARCH				43	D1			D168	D173		10.1093/nar/gku988					JAN 28 2015	2015										235	19	0	211	0	248			0305-1048	1362-4962		WOS:000350210400027	25332394	
S	Kiryanov, Andrey; Ayllon, Alejandro Alvarez; Keeble, Oliver					Alvarez-Ayllon, Alejandro/0000-0002-1353-7929	Sloot, P; Boukhanovsky, A; Athanassoulis, G; Klimentov, A		FTS3/WebFTS - a powerful file transfer service for scientific communities								4TH INTERNATIONAL YOUNG SCIENTIST CONFERENCE ON COMPUTATIONAL SCIENCE		Procedia Computer Science		66				670	678		10.1016/j.procs.2015.11.076					2015	2015						4th International Young Scientists Conference on Computational Science (YSC)4th International Young Scientists Conference on Computational Science (YSC)	JUN 25-JUL 03, 2015JUN 25-JUL 03, 2015		Athens, GREECEAthens, GREECE	0	0	0	0	0	0			1877-0509		*****************	WOS:000373782500075		
S	Jaffali, Soufiene; Ameur, Hanen; Jamoussi, Salma; Ben Hamadou, Abdelmajid					BEN HAMADOU, Abdelmajid/0000-0001-8632-2956; Jaffali, Soufiene/0000-0003-4612-0991	Nguyen, NT		GLIO: A New Method for Grouping Like-Minded Users								TRANSACTIONS ON COMPUTATIONAL COLLECTIVE INTELLIGENCE XVIII		Lecture Notes in Computer Science		9240				44	66		10.1007/978-3-662-48145-5_3	10.1007/978-3-662-48145-5				2015	2015										2	0	0	0	0	2			0302-9743	1611-3349	978-3-662-48145-5; 978-3-662-48144-8	WOS:000364818300004		
J	Verborgh, Ruben; van Hooland, Seth; Cope, Aaron Straup; Chan, Sebastian; Mannens, Erik; Van de Walle, Rik				Verborgh, Ruben/P-6571-2014	Verborgh, Ruben/0000-0002-8596-222X; Mannens, Erik/0000-0001-7946-4884			The fallacy of the multi-API culture Conceptual and practical benefits of Representational State Transfer (REST)								JOURNAL OF DOCUMENTATION				71	2			233	252		10.1108/JD-07-2013-0098					2015	2015										1	0	0	0	0	1			0022-0418	1758-7379		WOS:000352716700004		
J	Zhao, Xiang; Liu, Yaolin; Liu, Dianfeng; Ma, Xiaoya								AITSO: A Tool for Spatial Optimization Based on Artificial Immune Systems								COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE										549832	10.1155/2015/549832					2015	2015										1	0	0	0	0	1			1687-5265	1687-5273		WOS:000348360800001	25678911	
J	Kreutz, Diego; Ramos, Fernando M. V.; Verissimo, Paulo Esteves; Rothenberg, Christian Esteve; Azodolmolky, Siamak; Uhlig, Steve				Uhlig, Steve/P-3202-2019; Uhlig, Steve/B-5581-2016; Rothenberg, Christian Esteve/J-7148-2012; Ramos, Fernando/O-7657-2015	Uhlig, Steve/0000-0001-6251-6836; Uhlig, Steve/0000-0001-6251-6836; Rothenberg, Christian Esteve/0000-0003-3109-4305; Ramos, Fernando/0000-0003-3585-8587			Software-Defined Networking: A Comprehensive Survey								PROCEEDINGS OF THE IEEE				103	1			14	76		10.1109/JPROC.2014.2371999					JAN 2015	2015										1306	67	3	2	2	1359			0018-9219	1558-2256		WOS:000346768700003		
J	Slonina, Mariusz; Gozdziewski, Krzysztof; Migaszewski, Cezary				Gozdziewski, Krzysztof/D-6291-2014; Migaszewski, Cezary/E-3060-2017	Gozdziewski, Krzysztof/0000-0002-8705-1577; Migaszewski, Cezary/0000-0003-2546-6328			Mechanic: The MPI/HDF code framework for dynamical astronomy								NEW ASTRONOMY				34				98	107		10.1016/j.newast.2014.05.006					JAN 2015	2015										7	0	0	0	0	7			1384-1076	1384-1092		WOS:000342530900012		
J	Teyton, Cedric; Falleri, Jean-Remy; Palyart, Marc; Blanc, Xavier								A study of library migrations in Java								JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS				26	11	SI		1030	1052		10.1002/smr.1660					NOV 2014	2014										12	0	0	0	0	12			2047-7473	2047-7481		WOS:000345595400005		
J	Ren, Wei; Qiu, Yuhui								Semantic Based Network Growth in Instant Messaging Environment								JOURNAL OF COMPUTERS				9	10			2387	2394		10.4304/jcp.9.10.2387-2394					OCT 2014	2014										0	0	0	0	0	0			1796-203X			WOS:000218235200016		
J	Lu, Dan; Ye, Ming; Hill, Mary C.; Poeter, Eileen P.; Curtis, Gary P.				Ye, Ming/A-5964-2008				A computer program for uncertainty analysis integrating regression and Bayesian methods								ENVIRONMENTAL MODELLING & SOFTWARE				60				45	56		10.1016/j.envsoft.2014.06.002					OCT 2014	2014										19	1	0	10	0	20			1364-8152	1873-6726		WOS:000341218800004		
J	Sandner, Raimar; Vukics, Andras								C++QEDv2 Milestone 10: A C++/Python application-programming framework for simulating open quantum dynamics								COMPUTER PHYSICS COMMUNICATIONS				185	9			2380	2382		10.1016/j.cpc.2014.04.011					SEP 2014	2014										5	0	0	1	0	5			0010-4655	1879-2944		WOS:000338608900006		
J	Kilinc, Caner; Andersson, Karl				Andersson, Karl/E-3611-2010	Andersson, Karl/0000-0003-0244-3561			A Congestion Avoidance Mechanism for WebRTC Interactive Video Sessions in LTE Networks								WIRELESS PERSONAL COMMUNICATIONS				77	4			2417	2443		10.1007/s11277-014-1643-0					AUG 2014	2014										2	0	0	0	0	2			0929-6212	1572-834X		WOS:000340470500001		
J	Kopecky, Jacek; Fremantle, Paul; Boakes, Rich					Kopecky, Jacek/0000-0001-6556-7786			A history and future of Web APIs								IT-INFORMATION TECHNOLOGY				56	3	SI		90	97		10.1515/itit-2013-1035					JUN 2014	2014										1	0	0	0	0	1			1611-2776	2196-7032		WOS:000219317600002		
J	Bregy, Lukas; Sinues, Pablo Martinez-Lozano; Nudnova, Maryia M.; Zenobi, Renato				Sinues, Pablo/A-9576-2014	Sinues, Pablo/0000-0001-5602-2880; Bregy, Lukas/0000-0003-4812-4240			Real-time breath analysis with active capillary plasma ionization-ambient mass spectrometry								JOURNAL OF BREATH RESEARCH				8	2					027102	10.1088/1752-7155/8/2/027102					JUN 2014	2014										13	1	0	7	0	13			1752-7155	1752-7163		WOS:000337353100005	24682106	
J	Arnaoudova, Venera; Eshkevari, Laleh M.; Di Penta, Massimiliano; Oliveto, Rocco; Antoniol, Giuliano; Gueheneuc, Yann-Gael				Gueheneuc, Yann-Gael/K-9371-2019	Di Penta, Massimiliano/0000-0002-0340-9747			REPENT: Analyzing the Nature of Identifier Renamings								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				40	5			502	532		10.1109/TSE.2014.2312942					MAY 2014	2014										20	2	0	0	0	21			0098-5589	1939-3520		WOS:000337950500005		
J	Bouktif, Salah; Sahraoui, Houari; Ahmed, Faheem								Predicting Stability of Open-Source Software Systems Using Combination of Bayesian Classifiers								ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS				5	1					UNSP 3	10.1145/2555596					APR 2014	2014										3	0	0	0	0	3			2158-656X	2158-6578		WOS:000445863100003		
J	Naujokat, Stefan; Neubauer, Johannes; Lamprecht, Anna-Lena; Steffen, Bernhard; Joerges, Sven; Margaria, Tiziana					Margaria, Tiziana/0000-0002-5547-9739			Simplicity-first model-based plug-in development								SOFTWARE-PRACTICE & EXPERIENCE				44	3	SI		277	297		10.1002/spe.2243					MAR 2014	2014										7	0	0	0	0	7			0038-0644	1097-024X		WOS:000331275900003		
J	Terrapon, Nicolas; Weiner, January; Grath, Sonja; Moore, Andrew D.; Bornberg-Bauer, Erich				Terrapon, Nicolas/O-3630-2014; Bornberg-Bauer, Erich/A-1563-2013; Grath, Sonja/L-8803-2013	Terrapon, Nicolas/0000-0002-3693-6017; Bornberg-Bauer, Erich/0000-0002-1826-3576; Weiner, January/0000-0003-1438-7819; Grath, Sonja/0000-0003-3621-736X			Rapid similarity search of proteins using alignments of domain arrangements								BIOINFORMATICS				30	2			274	281		10.1093/bioinformatics/btt379					JAN 15 2014	2014										20	0	0	18	0	20			1367-4803	1460-2059		WOS:000330432500017	23828785	
S	Duhoux, P.; Knudstrup, J.; Lilley, P.; Di Marcantonio, P.; Cirami, R.; Mannetta, M.					Cirami, Roberto/0000-0002-4926-095X	Chiozzi, G; Radziwill, NM		VLT instruments: industrial solutions for non-scientific detector systems								SOFTWARE AND CYBERINFRASTRUCTURE FOR ASTRONOMY III		Proceedings of SPIE		9152						UNSP 91520I	10.1117/12.2054718					2014	2014						Conference on Software and Cyberinfrastructure for Astronomy IIIConference on Software and Cyberinfrastructure for Astronomy III	JUN 22-26, 2014JUN 22-26, 2014	SPIESPIE	Montreal, CANADAMontreal, CANADA	0	0	0	0	0	0			0277-786X		978-0-8194-9620-1	WOS:000347467300017		
S	Chapeland, S.; Carena, F.; Carena, W.; Barroso, V. Chibante; Costa, F.; Denes, E.; Divia, R.; Fuchs, U.; Grigore, A.; Ionita, C.; Delort, C.; Simonetti, G.; Soos, C.; Telesca, A.; Vande Vyyre, P.; Von Haller, B.		ALICE Collaboration	IOP					The ALICE DAQ infoLogger								20TH INTERNATIONAL CONFERENCE ON COMPUTING IN HIGH ENERGY AND NUCLEAR PHYSICS (CHEP2013), PARTS 1-6		Journal of Physics Conference Series		513						UNSP 012005	10.1088/1742-6596/513/1/012005					2014	2014						20th International Conference on Computing in High Energy and Nuclear Physics (CHEP)20th International Conference on Computing in High Energy and Nuclear Physics (CHEP)	OCT 14-18, 2013OCT 14-18, 2013		Amsterdam, NETHERLANDSAmsterdam, NETHERLANDS	0	0	0	0	0	0			1742-6588		*****************	WOS:000342287200005		
S	Cosmo, G.		Geant4 Collaboration	IOP					Geant4-Towards major release 10								20TH INTERNATIONAL CONFERENCE ON COMPUTING IN HIGH ENERGY AND NUCLEAR PHYSICS (CHEP2013), PARTS 1-6		Journal of Physics Conference Series		513						022005	10.1088/1742-6596/513/2/022005					2014	2014						20th International Conference on Computing in High Energy and Nuclear Physics (CHEP)20th International Conference on Computing in High Energy and Nuclear Physics (CHEP)	OCT 14-18, 2013OCT 14-18, 2013		Amsterdam, NETHERLANDSAmsterdam, NETHERLANDS	7	0	0	0	0	7			1742-6588		*****************	WOS:000342287200047		
S	Bagnasco, Stefano; Berzano, Dario; Brunetti, Riccardo; Lusso, Stefano; Vallero, Sara			IOP		Bagnasco, Stefano/0000-0001-6062-6505; Vallero, Sara/0000-0003-1264-9651			Managing a tier-2 computer centre with a private cloud infrastructure								15TH INTERNATIONAL WORKSHOP ON ADVANCED COMPUTING AND ANALYSIS TECHNIQUES IN PHYSICS RESEARCH (ACAT2013)		Journal of Physics Conference Series		523						012012	10.1088/1742-6596/523/1/012012					2014	2014						15th International Workshop on Advanced Computing and Analysis Techniques in Physics Research (ACAT)15th International Workshop on Advanced Computing and Analysis Techniques in Physics Research (ACAT)	MAY 16-21, 2013MAY 16-21, 2013	Chinese Acad Sci; Natl Nat Sci Fdn China; Brookhaven Natl Lab; Peking Univ; Chinese Acad Sci, Theoret Phys Ctr Sci Facilities; SugonChinese Acad Sci; Natl Nat Sci Fdn China; Brookhaven Natl Lab; Peking Univ; Chinese Acad Sci, Theoret Phys Ctr Sci Facilities; Sugon	Chinese Acad Sci, Inst High Energy Phys, Beijing, PEOPLES R CHINAChinese Acad Sci, Inst High Energy Phys, Beijing, PEOPLES R CHINA	1	0	0	0	0	1			1742-6588		*****************	WOS:000339627300012		
J	Rodriguez, Gabriel; Martin, Maria J.; Gonzalez, Patricia; Tourino, Juan; Doallo, Ramon				Tourino, Juan/O-2878-2015; Gonzalez, Patricia/F-3822-2016; Martin, Maria/M-5167-2015; Rodriguez, Gabriel/A-5915-2011	Tourino, Juan/0000-0001-9670-1933; Gonzalez, Patricia/0000-0003-0378-9222; Martin, Maria/0000-0002-9153-0909; Rodriguez, Gabriel/0000-0002-0338-3655; Doallo, Ramon/0000-0002-6011-3387			Compiler-Assisted Checkpointing of Parallel Codes: The Cetus and LLVM Experience								INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING				41	6	SI		782	805		10.1007/s10766-012-0231-8					DEC 2013	2013										0	0	0	0	0	0			0885-7458	1573-7640		WOS:000322726300004		
J	Panahiazar, Maryam; Sheth, Amit P.; Ranabahu, Ajith; Vos, Rutger A.; Leebens-Mack, Jim				Vos, Rutger/H-9032-2012	Vos, Rutger/0000-0001-9254-7318			Advancing data reuse in phyloinformatics using an ontology-driven Semantic Web approach								BMC MEDICAL GENOMICS				6						S5	10.1186/1755-8794-6-S3-S5				3	NOV 11 2013	2013										5	0	0	3	0	5			1755-8794			WOS:000329441800005	24565381	
J	Bastiao Silva, Luis A.; Costa, Carlos; Oliveira, Jose Luis				Costa, Carlos/A-4693-2012; Oliveira, Jose Luis/A-2223-2012	Costa, Carlos/0000-0002-2707-5331; Oliveira, Jose Luis/0000-0002-6672-6176; Bastiao Silva, Luis A./0000-0001-8513-7185			A common API for delivering services over multi-vendor cloud resources								JOURNAL OF SYSTEMS AND SOFTWARE				86	9			2309	2317		10.1016/j.jss.2013.04.037					SEP 2013	2013										13	2	0	1	0	14			0164-1212	1873-1228		WOS:000323870300008		
J	Paterson, Trevor; Law, Andy								ArkMAP: integrating genomic maps across species and data sources								BMC BIOINFORMATICS				14						246	10.1186/1471-2105-14-246					AUG 13 2013	2013										4	1	0	3	0	4			1471-2105			WOS:000323179400001	23941167	
J	Wojciechowski, Artur								E-ETL: Framework for Managing Evolving ETL Workflows								FOUNDATIONS OF COMPUTING AND DECISION SCIENCES				38	2			131	142		10.2478/fcds-2013-0005					JUN 2013	2013										1	0	0	0	0	1			0867-6356	2300-3405		WOS:000217381700005		
J	Hickey, Glenn; Paten, Benedict; Earl, Dent; Zerbino, Daniel; Haussler, David					Zerbino, Daniel/0000-0001-5350-3056			HAL: a hierarchical format for storing and analyzing multiple genome alignments								BIOINFORMATICS				29	10			1341	1342		10.1093/bioinformatics/btt128					MAY 15 2013	2013										24	0	0	23	0	24			1367-4803			WOS:000319428200013	23505295	
J	Stoltzfus, Arlin; Lapp, Hilmar; Matasci, Naim; Deus, Helena; Sidlauskas, Brian; Zmasek, Christian M.; Vaidya, Gaurav; Pontelli, Enrico; Cranston, Karen; Vos, Rutger; Webb, Campbell O.; Harmon, Luke J.; Pirrung, Megan; O'Meara, Brian; Pennell, Matthew W.; Mirarab, Siavash; Rosenberg, Michael S.; Balhoff, James P.; Bik, Holly M.; Heath, Tracy A.; Midford, Peter E.; Brown, Joseph W.; McTavish, Emily Jane; Sukumaran, Jeet; Westneat, Mark; Alfaro, Michael E.; Steele, Aaron; Jordan, Greg				Vaidya, Gaurav/E-9766-2010; Vos, Rutger/H-9032-2012; Brown, Joseph W./O-8075-2019; Lapp, Hilmar/H-5242-2019; Rosenberg, Michael S/A-4621-2008; Alfaro, Michael/Q-2113-2017; Brown, Joseph/A-7713-2009; Lapp, Hilmar/A-8275-2009; Stoltzfus, Arlin/D-8551-2011	Vaidya, Gaurav/0000-0003-0587-0454; Vos, Rutger/0000-0001-9254-7318; Brown, Joseph W./0000-0002-3835-8062; Lapp, Hilmar/0000-0001-9107-0714; Rosenberg, Michael S/0000-0001-7882-2467; Alfaro, Michael/0000-0002-8898-8230; Brown, Joseph/0000-0002-3835-8062; Lapp, Hilmar/0000-0001-9107-0714; Mirarab, Siavash/0000-0001-5410-1518; Webb, Campbell/0000-0003-1031-3249; Stoltzfus, Arlin/0000-0002-0963-1357; Matasci, Naim/0000-0003-4416-048X; Sidlauskas, Brian/0000-0003-0597-4085; O'Meara, Brian/0000-0002-0337-5997; Bik, Holly/0000-0002-4356-3837; Deus, Helena/0000-0003-2995-568X; Cranston, Karen Ann/0000-0002-4798-9499; Heath, Tracy/0000-0002-0087-2541; Sukumaran, Jeet/0000-0002-9222-9608; Balhoff, James/0000-0002-8688-6599; McTavish, Emily Jane/0000-0001-9766-5727			Phylotastic! Making tree-of-life knowledge accessible, reusable and convenient								BMC BIOINFORMATICS				14						158	10.1186/1471-2105-14-158					MAY 13 2013	2013										11	0	0	8	1	11			1471-2105			WOS:000319743900001	23668630	
J	Langella, Olivier; Valot, Benoit; Jacob, Daniel; Balliau, Thierry; Flores, Raphael; Hoogland, Christine; Joets, Johann; Zivy, Michel				Valot, Benoit/G-3521-2018	Langella, Olivier/0000-0002-3039-6718; Hoogland, Christine/0000-0002-7341-1551; Balliau, Thierry/0000-0002-8172-1605; Zivy, Michel/0000-0002-9814-3792			Management and dissemination of MS proteomic data with PROTICdb: Example of a quantitative comparison between methods of protein extraction								PROTEOMICS				13	9			1457	1466		10.1002/pmic.201200564					MAY 2013	2013										12	0	0	12	0	12			1615-9853			WOS:000318049800010	23468041	
J	Robillard, Martin P.; Bodden, Eric; Kawrykow, David; Mezini, Mira; Ratchford, Tristan					Bodden, Eric/0000-0003-3470-3647			Automated API Property Inference Techniques								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				39	5			613	637		10.1109/TSE.2012.63					MAY 2013	2013										52	3	1	0	0	55			0098-5589	1939-3520		WOS:000318642300003		
J	Gracia, Javier; Bayo, Eduardo				Bayo, Eduardo/S-4754-2016	Bayo, Eduardo/0000-0002-5684-4988			Integrated 3D Web Application for Structural Analysis Software as a Service								JOURNAL OF COMPUTING IN CIVIL ENGINEERING				27	2			159	166		10.1061/(ASCE)CP.1943-5487.0000217					MAR 2013	2013										8	0	0	0	0	8			0887-3801			WOS:000316549300006		
J	Pathak, A. K.; Singh, S. P.; Dayal, Rajesh; Sarkar, U. K.; Chaturvedi, Reeta; Kumar, Ravi								Database on catfishes of India								INDIAN JOURNAL OF ANIMAL SCIENCES				83	1			102	106							JAN 2013	2013										1	0	0	1	0	1			0367-8318			WOS:000344388100024		
S	Cao Wei; Wang Zheng-hua; Xu Chuan-fu						Sang, X; Kim, YH		A Survey of General Purpose Computation of GPU for Computational Fluid Dynamics								MATERIALS PROCESSING AND MANUFACTURING III, PTS 1-4		Advanced Materials Research		753-755				2731	+		10.4028/www.scientific.net/AMR.753-755.2731					2013	2013						3rd International Conference on Advanced Engineering Materials and Technology (AEMT 2013)3rd International Conference on Advanced Engineering Materials and Technology (AEMT 2013)	MAY 11-12, 2013MAY 11-12, 2013	Hebei Prov Key Lab Inorgan Nonmetall Mat; Korea Maritime UnivHebei Prov Key Lab Inorgan Nonmetall Mat; Korea Maritime Univ	Zhangjiajie, PEOPLES R CHINAZhangjiajie, PEOPLES R CHINA	0	0	0	0	0	0			1022-6680		978-3-03785-764-9	WOS:000336944701227		
J	Kim, Miryung; Notkin, David; Grossman, Dan; Wilson, Gary, Jr.								Identifying and Summarizing Systematic Code Changes via Rule Inference								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				39	1			45	62		10.1109/TSE.2012.16					JAN 2013	2013										21	1	0	0	0	22			0098-5589	1939-3520		WOS:000312996800003		
J	del Cid, Pedro Javier; Hughes, Danny; Michiels, Sam; Joosen, Wouter				Hughes, Danny/B-7850-2014				Applying a metadata level for concurrency in wireless sensor networks								CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE				24	16	SI		1953	1962		10.1002/cpe.2815					NOV 2012	2012										0	0	0	0	0	0			1532-0626			WOS:000309458500010		
J	Venugopal, Gomathi; Palanimuthu, Anbalagan; Moses, Balasingh					Muthu, Balasingh Moses/0000-0003-4997-1230			AN EFFECTIVE DISTRIBUTED MODEL FOR XMLISED POWER SYSTEM DATA GENERATION								JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS				21	7					1250053	10.1142/S0218126612500533					NOV 2012	2012										0	0	0	0	0	0			0218-1266			WOS:000313706200005		
J	Heydarnoori, Abbas; Czarnecki, Krzysztof; Binder, Walter; Bartolomei, Thiago Tonelli								Two Studies of Framework-Usage Templates Extracted from Dynamic Traces								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				38	6			1464	1487		10.1109/TSE.2011.77					NOV-DEC 2012	2012										6	0	0	0	0	6			0098-5589			WOS:000311556100013		
J	Bianconi, Fortunato; Brunori, Valerio; Valigi, Paolo; La Rosa, Francesco; Stracci, Fabrizio				Bianconi, Fortunato/L-7359-2019	Bianconi, Fortunato/0000-0002-3132-0061; Valigi, Paolo/0000-0002-0486-7678			Information Technology as Tools for Cancer Registry and Regional Cancer Network Integration								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS				42	6			1410	1424		10.1109/TSMCA.2012.2210209					NOV 2012	2012										11	0	0	4	1	11			1083-4427	1558-2426		WOS:000310147000009		
J	Rodrigues, Carlos; Lima, Solange Rito; Alvarez Sabucedo, Luis M.; Carvalho, Paulo				Carvalho, Paulo/U-5176-2017	Carvalho, Paulo/0000-0002-6735-7122; Rito Lima, Solange/0000-0003-2139-8073			An ontology for managing network services quality								EXPERT SYSTEMS WITH APPLICATIONS				39	9			7938	7946		10.1016/j.eswa.2012.01.106					JUL 2012	2012										4	0	0	0	0	4			0957-4174			WOS:000303281600036		
J	Jung, Woosung; Lee, Eunjoo; Wu, Chisu								A Survey on Mining Software Repositories								IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS				E95D	5			1384	1406		10.1587/transinf.E95.D.1384					MAY 2012	2012										4	0	0	0	0	4			0916-8532	1745-1361		WOS:000304573100046		
